,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Espalda,Espalda,Espalda,Espalda,Espalda,Espalda,Espalda,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,MarkerSet:Referencia,MarkerSet:Referencia,MarkerSet:Referencia
,,"4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","4E2997431BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","5DD76F7B1BD511E85D0998737888968D","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000001","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000002","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E3573200000003","8392B20CF49E35717CBE065A00000000","8392B20CF49E35717CBE065A00000000","8392B20CF49E35717CBE065A00000000"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.158333,-3.390212,-3.344050,-4.943693,-309.876556,915.056274,-11.529340,0.549530,3.843500,7.038021,0.611850,-118.111877,833.421631,269.414215,1.045731,-318.488922,852.561279,-14.331583,-307.304016,973.558044,2.904147,-303.802979,918.942810,-22.976398,,,,-120.710403,829.255249,267.945160,-120.572296,761.658325,265.562836,-242.115341,1143.935669,87.682167
20,0.166667,-3.380308,-3.303152,-4.933935,-309.857391,915.069153,-11.490414,0.546188,3.842116,6.856542,0.613582,-118.111183,833.422363,269.438354,1.045731,-318.463531,852.575500,-14.297631,-307.281342,973.570740,2.948403,-303.796417,918.954041,-22.937685,,,,-120.699402,829.265625,267.961060,-120.579689,761.648926,265.580933,-242.110687,1143.933594,87.743340
21,0.175000,-3.363698,-3.279532,-4.928957,-309.834015,915.096619,-11.460510,0.544865,3.839179,6.980231,0.624216,-118.117722,833.419128,269.461639,1.045731,-318.438324,852.607788,-14.281194,-307.255920,973.589661,2.997041,-303.778900,918.979309,-22.910000,,,,-120.712784,829.260864,267.988007,-120.565681,761.648743,265.612579,-242.104248,1143.952515,87.813614
22,0.183333,-3.358186,-3.254303,-4.917549,-309.815338,915.116028,-11.429717,0.546742,3.842662,6.931696,0.627444,-118.125519,833.415649,269.486053,1.045731,-318.410522,852.624939,-14.251291,-307.241730,973.607666,3.031850,-303.765045,919.003052,-22.882282,,,,-120.716599,829.262146,268.009766,-120.573074,761.640991,265.630249,-242.094437,1143.970581,87.874939
23,0.191667,-3.349975,-3.222275,-4.914075,-309.808990,915.148926,-11.397535,0.548000,3.840637,6.779783,0.626455,-118.115921,833.416931,269.519287,1.045731,-318.402863,852.660095,-14.224489,-307.228760,973.635986,3.070563,-303.769196,919.036804,-22.847801,,,,-120.707359,829.257629,268.037292,-120.563713,761.648682,265.658722,-242.079865,1143.987061,87.944069
24,0.200000,-3.342264,-3.226466,-4.914245,-309.796967,915.181824,-11.367735,0.562190,3.844276,6.801343,0.633477,-118.110283,833.427917,269.547211,1.045731,-318.391113,852.695007,-14.203705,-307.216644,973.654968,3.107071,-303.760162,919.080261,-22.807301,,,,-120.700661,829.272156,268.064880,-120.550003,761.656616,265.682617,-242.072113,1144.004761,88.013680
25,0.208333,-3.330679,-3.195982,-4.910421,-309.796539,915.215881,-11.330300,0.568024,3.842788,6.758113,0.644794,-118.120171,833.415283,269.578430,1.045731,-318.388885,852.728516,-14.175758,-307.210144,973.683716,3.152758,-303.772766,919.122192,-22.762060,,,,-120.709450,829.263916,268.092468,-120.545563,761.641479,265.712952,-242.070236,1144.020630,88.097237
26,0.216667,-3.318041,-3.198461,-4.912551,-309.805328,915.249512,-11.288845,0.570189,3.842339,6.625522,0.658896,-118.111603,833.416992,269.605286,1.045731,-318.398682,852.768188,-14.151010,-307.217072,973.709839,3.204316,-303.786621,919.156250,-22.712738,,,,-120.699051,829.262512,268.113861,-120.520027,761.645935,265.732025,-242.068466,1144.037109,88.162949
27,0.225000,-3.315505,-3.208045,-4.915817,-309.811951,915.286377,-11.253781,0.574436,3.851888,6.801546,0.670530,-118.110046,833.426270,269.639160,1.045731,-318.407776,852.799744,-14.121063,-307.220459,973.749878,3.238112,-303.795929,919.201843,-22.666544,,,,-120.698425,829.280945,268.151978,-120.503159,761.647705,265.761597,-242.063110,1144.052979,88.226776
28,0.233333,-3.302208,-3.191463,-4.910350,-309.823730,915.324463,-11.209866,0.578472,3.869843,7.018290,0.676301,-118.088310,833.424622,269.678436,1.045731,-318.414673,852.839294,-14.089581,-307.232941,973.780518,3.294706,-303.813202,919.244873,-22.620260,,,,-120.673714,829.283569,268.200226,-120.477974,761.638306,265.786957,-242.059097,1144.074463,88.300911
