,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,brazo,brazo,brazo,brazo,brazo,brazo,brazo,espalda,espalda,espalda,espalda,espalda,espalda,espalda,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker1,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker2,Rigid Body 2:Marker3,Rigid Body 2:Marker3,Rigid Body 2:Marker3,MarkerSet:referencia,MarkerSet:referencia,MarkerSet:referencia
,,"A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","A811DC5D1BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","AF169C401BD611E85D0998737888968D","8392B20CF49E3573700000001","8392B20CF49E3573700000001","8392B20CF49E3573700000001","8392B20CF49E3573700000002","8392B20CF49E3573700000002","8392B20CF49E3573700000002","8392B20CF49E3573700000003","8392B20CF49E3573700000003","8392B20CF49E3573700000003","8392B20CF49E3573800000001","8392B20CF49E3573800000001","8392B20CF49E3573800000001","8392B20CF49E3573800000002","8392B20CF49E3573800000002","8392B20CF49E3573800000002","8392B20CF49E3573800000003","8392B20CF49E3573800000003","8392B20CF49E3573800000003","8392B20CF49E35717C915B400000000","8392B20CF49E35717C915B400000000","8392B20CF49E35717C915B400000000"
,,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.183333,-0.889300,-12.886266,13.812314,98.267532,960.716248,103.123947,1.661036,-0.565919,-16.788031,2.446323,-183.648926,837.522827,307.523743,2.600682,109.522621,960.004822,103.832771,70.372650,1002.964355,100.237053,114.941231,919.688721,105.200272,-186.474884,906.567017,308.737640,-182.352188,835.344849,304.685028,-182.047455,770.998901,309.261169,-43.419468,1165.440186,162.634354
23,0.191667,-0.897229,-12.855632,13.824883,98.261765,960.720886,103.113754,1.658661,-0.563815,-17.003565,2.440985,-183.655457,837.518066,307.517883,2.600682,109.528000,960.017212,103.819603,70.354279,1002.955566,100.235710,114.933907,919.688660,105.187241,-186.483109,906.573486,308.732269,-182.353973,835.332031,304.676392,-182.056992,770.990967,309.258820,-43.421207,1165.443115,162.625290
24,0.200000,-0.875725,-12.891547,13.821493,98.260422,960.722656,103.100426,1.646200,-0.560126,-17.097012,2.443787,-183.662109,837.519226,307.512024,2.600682,109.541115,960.024597,103.816330,70.346466,1002.958801,100.220352,114.917183,919.675537,105.166046,-186.490891,906.565186,308.720673,-182.367172,835.337524,304.678436,-182.055801,770.998230,309.251160,-43.434711,1165.441162,162.612518
25,0.208333,-0.894539,-12.831215,13.829403,98.260612,960.737427,103.085075,1.642331,-0.562827,-17.021755,2.443413,-183.672668,837.520874,307.507965,2.600682,109.552917,960.048157,103.790726,70.339760,1002.957214,100.221100,114.914635,919.676697,105.150200,-186.500641,906.566406,308.716461,-182.372925,835.335510,304.673157,-182.071777,771.004028,309.248413,-43.446301,1165.437256,162.611618
26,0.216667,-0.908418,-12.809714,13.832580,98.258354,960.744995,103.069244,1.635622,-0.560328,-17.182018,2.434246,-183.671555,837.520142,307.499268,2.600682,109.556107,960.058655,103.771591,70.328285,1002.963989,100.206253,114.911499,919.680176,105.136475,-186.497086,906.556824,308.702209,-182.369949,835.335754,304.667969,-182.075027,771.012573,309.242310,-43.452667,1165.428467,162.600098
27,0.225000,-0.878976,-12.834542,13.844637,98.253853,960.751587,103.050598,1.642310,-0.553429,-17.131844,2.441360,-183.671432,837.524902,307.496124,2.600682,109.547935,960.064636,103.756691,70.320847,1002.962952,100.195686,114.915726,919.693481,105.108200,-186.503296,906.566833,308.712067,-182.363983,835.330261,304.657166,-182.074066,771.021973,309.233673,-43.456528,1165.430786,162.597977
28,0.233333,-0.896079,-12.811918,13.849035,98.242325,960.754700,103.041115,1.648354,-0.553039,-17.302940,2.432265,-183.669998,837.517151,307.489441,2.600682,109.529793,960.066589,103.742653,70.308945,1002.969482,100.184120,114.913818,919.710693,105.101555,-186.500397,906.558044,308.699982,-182.360046,835.317627,304.649994,-182.076782,771.020813,309.233063,-43.467033,1165.435913,162.608063
29,0.241667,-0.852943,-12.871351,13.853812,98.216469,960.750671,103.022583,1.654536,-0.548191,-17.299049,2.433983,-183.670792,837.516113,307.486053,2.600682,109.488167,960.055176,103.731995,70.288834,1002.970093,100.168442,114.905800,919.716797,105.073593,-186.499146,906.547302,308.697632,-182.364166,835.324524,304.654022,-182.075974,771.022583,309.221649,-43.482552,1165.441162,162.620895
30,0.250000,-0.823716,-12.923522,13.857902,98.193230,960.745422,103.023827,1.662056,-0.554582,-17.213717,2.433042,-183.668045,837.519104,307.492798,2.600682,109.453041,960.043579,103.741814,70.267090,1002.974609,100.163879,114.894089,919.730713,105.067459,-186.495422,906.556274,308.705048,-182.356750,835.318909,304.651459,-182.078964,771.027771,309.236816,-43.498043,1165.436646,162.620773
31,0.258333,-0.787437,-12.984102,13.854828,98.172028,960.748596,103.016960,1.670907,-0.552325,-17.180389,2.434608,-183.664749,837.508911,307.488495,2.600682,109.409546,960.036072,103.743370,70.261795,1002.989075,100.154945,114.891411,919.746216,105.054924,-186.489044,906.538025,308.697479,-182.363892,835.324158,304.660583,-182.068253,771.010620,309.222565,-43.515621,1165.444092,162.646667
32,0.266667,-0.775240,-13.006698,13.850964,98.150230,960.750183,103.014130,1.677114,-0.549330,-17.049297,2.435618,-183.658432,837.502625,307.489380,2.600682,109.372826,960.030090,103.741028,70.251450,1002.999451,100.152054,114.879433,919.756226,105.051720,-186.480072,906.531921,308.708649,-182.358719,835.309875,304.654236,-182.063370,771.012329,309.220520,-43.522846,1165.445190,162.650238
33,0.275000,-0.768088,-13.014075,13.854844,98.141342,960.748962,103.009544,1.677827,-0.546756,-17.149624,2.436769,-183.652390,837.493225,307.496277,2.600682,109.365204,960.028137,103.738579,70.236580,1003.000244,100.146751,114.872543,919.762451,105.043884,-186.480042,906.523254,308.716675,-182.350845,835.302185,304.655914,-182.053329,771.000305,309.231323,-43.530422,1165.452881,162.669083
34,0.283333,-0.800003,-12.966869,13.845017,98.132637,960.756653,103.010880,1.670585,-0.542592,-17.047831,2.440912,-183.650406,837.486572,307.500427,2.600682,109.357452,960.035767,103.729630,70.230103,1003.011230,100.147690,114.858070,919.758606,105.053734,-186.477341,906.511658,308.727905,-182.349060,835.300110,304.661499,-182.051773,770.994446,309.227203,-43.543594,1165.448120,162.693344
35,0.291667,-0.808572,-12.934190,13.848289,98.127762,960.760681,103.007065,1.668082,-0.541494,-17.218700,2.431228,-183.642258,837.473450,307.507660,2.600682,109.361435,960.043884,103.721619,70.217560,1003.011108,100.153442,114.847801,919.760193,105.043823,-186.466492,906.505920,308.731049,-182.339218,835.271851,304.671417,-182.047928,770.988953,309.235779,-43.553337,1165.445923,162.716736
36,0.300000,-0.827592,-12.886100,13.853343,98.116997,960.759827,103.008217,1.667884,-0.537190,-17.205820,2.427711,-183.636993,837.461731,307.517029,2.600682,109.354874,960.045654,103.712936,70.197655,1003.005859,100.161652,114.836250,919.761475,105.044151,-186.453705,906.483459,308.743835,-182.336487,835.261902,304.682556,-182.047272,770.987732,309.240356,-43.571110,1165.437622,162.749527
37,0.308333,-0.824179,-12.876548,13.861753,98.102913,960.769104,103.011139,1.663112,-0.524601,-17.001417,2.439657,-183.631104,837.449402,307.534790,2.600682,109.346001,960.058899,103.714920,70.175011,1003.009888,100.171631,114.824799,919.766113,105.043686,-186.453766,906.475098,308.783569,-182.334305,835.252625,304.698608,-182.032135,770.967712,309.237762,-43.583069,1165.433472,162.783295
38,0.316667,-0.840004,-12.835492,13.858711,98.090904,960.764160,103.020515,1.671238,-0.514596,-17.263733,2.430182,-183.627151,837.434387,307.548065,2.600682,109.332138,960.051331,103.714668,70.162292,1003.006836,100.188530,114.810265,919.773804,105.050323,-186.450928,906.460938,308.803497,-182.320297,835.234558,304.708069,-182.036819,770.955078,309.248322,-43.591488,1165.436890,162.815994
39,0.325000,-0.821249,-12.839866,13.866600,98.074883,960.770996,103.031662,1.669355,-0.514045,-17.135099,2.426680,-183.619888,837.422607,307.568665,2.600682,109.320602,960.060303,103.727783,70.140503,1003.008728,100.210213,114.796181,919.778076,105.051338,-186.434143,906.445862,308.828369,-182.319733,835.220337,304.731445,-182.031219,770.952454,309.265045,-43.602478,1165.432373,162.850632
40,0.333333,-0.809245,-12.850955,13.866961,98.062042,960.773743,103.040527,1.671677,-0.502393,-17.233889,2.425047,-183.613144,837.401184,307.587921,2.600682,109.309280,960.066101,103.739616,70.128227,1003.009705,100.222313,114.779495,919.781677,105.051392,-186.430908,906.427979,308.857391,-182.309921,835.192383,304.751099,-182.025345,770.931274,309.271057,-43.617908,1165.426392,162.895279
41,0.341667,-0.792758,-12.874631,13.870067,98.052612,960.780945,103.056442,1.677666,-0.503785,-17.127052,2.427420,-183.608704,837.391174,307.613342,2.600682,109.288399,960.067810,103.758072,70.124199,1003.018250,100.242012,114.782928,919.796143,105.063583,-186.424469,906.408936,308.881775,-182.303543,835.180908,304.776886,-182.024384,770.932922,309.297424,-43.619797,1165.428101,162.947723
42,0.350000,-0.782165,-12.865507,13.867523,98.036880,960.783997,103.069817,1.671497,-0.493620,-17.203461,2.421799,-183.595612,837.365112,307.633484,2.600682,109.273041,960.072998,103.769150,70.111435,1003.019592,100.266899,114.766602,919.785217,105.070465,-186.406311,906.392456,308.913757,-182.297623,835.161804,304.803375,-182.009521,770.888489,309.299042,-43.621231,1165.422974,162.989838
43,0.358333,-0.761289,-12.880411,13.864264,98.027046,960.781372,103.093025,1.678021,-0.493516,-17.109837,2.427246,-183.595306,837.354187,307.663727,2.600682,109.258987,960.066711,103.794594,70.104683,1003.022766,100.297470,114.756126,919.793335,105.080345,-186.406937,906.390808,308.949127,-182.298126,835.137573,304.831299,-182.007813,770.880432,309.326019,-43.626415,1165.429932,163.055374
44,0.366667,-0.757937,-12.876021,13.858001,98.025192,960.788147,103.118004,1.674996,-0.488716,-17.219294,2.414783,-183.583481,837.330261,307.687805,2.600682,109.258949,960.072998,103.818718,70.106247,1003.032104,100.328705,114.749809,919.793762,105.101746,-186.386612,906.368530,308.979431,-182.286057,835.107361,304.851685,-182.004486,770.861877,309.347961,-43.643440,1165.421021,163.115189
45,0.375000,-0.746297,-12.870399,13.864830,98.019768,960.799194,103.133667,1.678975,-0.485408,-17.092022,2.419638,-183.577164,837.316711,307.716980,2.600682,109.247658,960.084961,103.830833,70.101524,1003.037109,100.356041,114.752968,919.805725,105.109673,-186.378571,906.356323,309.017334,-182.282394,835.086121,304.878357,-181.997116,770.855042,309.370941,-43.638233,1165.428467,163.166534
46,0.383333,-0.737424,-12.864403,13.864700,98.012032,960.804504,103.154259,1.676311,-0.478642,-17.125975,2.417876,-183.568741,837.296509,307.749451,2.600682,109.246040,960.091919,103.852249,70.090569,1003.043518,100.385986,114.740967,919.809326,105.121132,-186.371124,906.334290,309.049835,-182.273331,835.072693,304.926086,-181.988449,770.830017,309.388092,-43.640923,1165.427246,163.229050
47,0.391667,-0.727914,-12.854009,13.876819,97.998245,960.821167,103.164436,1.676274,-0.467544,-16.984743,2.415750,-183.553452,837.278992,307.778046,2.600682,109.235313,960.114441,103.859962,70.070137,1003.047241,100.408051,114.731911,919.820984,105.124184,-186.344391,906.310303,309.100281,-182.266174,835.052002,304.945038,-181.976105,770.823425,309.404907,-43.646919,1165.434082,163.287796
48,0.400000,-0.721941,-12.846560,13.872718,97.995819,960.833374,103.171532,1.680203,-0.466028,-17.007463,2.409117,-183.540970,837.255066,307.812408,2.600682,109.230736,960.124817,103.863884,70.071075,1003.062622,100.425713,114.727821,919.837708,105.122650,-186.322952,906.295776,309.139832,-182.263367,835.027039,304.979248,-181.963272,770.789734,309.433899,-43.657993,1165.434937,163.349670
49,0.408333,-0.718264,-12.829264,13.876570,97.974663,960.837158,103.177742,1.680983,-0.460033,-16.821316,2.409206,-183.522293,837.239075,307.843018,2.600682,109.203186,960.122742,103.866737,70.043869,1003.075500,100.438217,114.715752,919.853943,105.121712,-186.295776,906.279724,309.188904,-182.247482,835.009583,305.002960,-181.950272,770.775208,309.452942,-43.663967,1165.434937,163.399597
50,0.416667,-0.731312,-12.773429,13.875250,97.963638,960.862244,103.180641,1.686495,-0.454634,-16.805073,2.400664,-183.512573,837.221619,307.878540,2.600682,109.193771,960.149841,103.859566,70.036652,1003.094177,100.461273,114.702919,919.878479,105.116386,-186.277542,906.260498,309.231506,-182.238998,834.992859,305.041443,-181.947678,770.759277,309.478699,-43.672009,1165.433716,163.453369
